Dates,DayOfWeek,PdDistrict,Address,X,Y
01.01.2015,Thursday,TENDERLOIN,300 Block of EDDY ST,-122.4129305,37.78383444
01.01.2015,Thursday,NORTHERN,300 Block of HAIGHT ST,-122.4279851,37.77236414
01.01.2015,Thursday,CENTRAL,800 Block of KEARNY ST,-122.4049836,37.79578634
01.01.2015,Thursday,CENTRAL,400 Block of GEARY ST,-122.4107216,37.78709665
01.01.2015,Thursday,BAYVIEW,1000 Block of DEHARO ST,-122.4008154,37.75589045
01.01.2015,Thursday,PARK,1400 Block of 7TH AV,-122.4640448,37.76131618
01.01.2015,Thursday,PARK,1400 Block of 7TH AV,-122.4640448,37.76131618
01.01.2015,Thursday,PARK,1400 Block of 7TH AV,-122.4640448,37.76131618
01.01.2015,Thursday,INGLESIDE,KINGSTON ST / MISSION ST,-122.4223667,37.7417617
01.01.2015,Thursday,INGLESIDE,200 Block of BADEN ST,-122.4396762,37.73198394
01.01.2015,Thursday,SOUTHERN,1200 Block of MARKET ST,-122.4154442,37.77802457
01.01.2015,Thursday,SOUTHERN,1200 Block of MARKET ST,-122.4154442,37.77802457
01.01.2015,Thursday,SOUTHERN,5TH ST / MISSION ST,-122.406482,37.78273179
01.01.2015,Thursday,MISSION,3200 Block of 26TH ST,-122.4145932,37.74919905
01.01.2015,Thursday,SOUTHERN,800 Block of MARKET ST,-122.4076335,37.78418935
01.01.2015,Thursday,NORTHERN,EDDY ST / LARKIN ST,-122.4175307,37.78331075
01.01.2015,Thursday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071
01.01.2015,Thursday,MISSION,100 Block of UTAH ST,-122.4066676,37.76777048
01.01.2015,Thursday,SOUTHERN,300 Block of 6TH ST,-122.4052928,37.77832579
01.01.2015,Thursday,SOUTHERN,300 Block of 6TH ST,-122.4052928,37.77832579
01.01.2015,Thursday,SOUTHERN,300 Block of 6TH ST,-122.4052928,37.77832579
01.01.2015,Thursday,SOUTHERN,1000 Block of MARKET ST,-122.4110714,37.78175113
01.01.2015,Thursday,SOUTHERN,1000 Block of MARKET ST,-122.4110714,37.78175113
01.01.2015,Thursday,SOUTHERN,1000 Block of MARKET ST,-122.4110714,37.78175113
01.01.2015,Thursday,NORTHERN,FRANKLIN ST / MYRTLE ST,-122.422936,37.78501371
01.01.2015,Thursday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071
01.01.2015,Thursday,SOUTHERN,200 Block of INTERSTATE80 HY,-122.3655654,37.8096707
01.01.2015,Thursday,SOUTHERN,200 Block of INTERSTATE80 HY,-122.3655654,37.8096707
01.01.2015,Thursday,SOUTHERN,200 Block of INTERSTATE80 HY,-122.3655654,37.8096707
01.01.2015,Thursday,MISSION,100 Block of BARTLETT ST,-122.4197113,37.75455656
01.01.2015,Thursday,MISSION,100 Block of BARTLETT ST,-122.4197113,37.75455656
01.01.2015,Thursday,CENTRAL,0 Block of FRANCISCO ST,-122.4061461,37.80554096
01.01.2015,Thursday,TARAVAL,700 Block of HEAD ST,-122.4644036,37.72070568
01.01.2015,Thursday,BAYVIEW,600 Block of THORNTON AV,-122.4016521,37.73106416
01.01.2015,Thursday,SOUTHERN,FOLSOM ST / 3RD ST,-122.3989327,37.78378482
01.01.2015,Thursday,SOUTHERN,0 Block of MOSS ST,-122.4079992,37.77782417
01.01.2015,Thursday,SOUTHERN,700 Block of MARKET ST,-122.4039191,37.7871161
01.01.2015,Thursday,MISSION,17TH ST / HOFF ST,-122.4204347,37.76337581
01.01.2015,Thursday,NORTHERN,400 Block of FELL ST,-122.4252029,37.77558287
01.01.2015,Thursday,CENTRAL,500 Block of BEACH ST,-122.4181111,37.80702
01.01.2015,Thursday,SOUTHERN,700 Block of 3RD ST,-122.3922374,37.77852047
01.01.2015,Thursday,SOUTHERN,700 Block of 3RD ST,-122.3922374,37.77852047
01.01.2015,Thursday,RICHMOND,JACKSON ST / BRODERICK ST,-122.4428286,37.79141755
01.01.2015,Thursday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071
01.01.2015,Thursday,SOUTHERN,500 Block of HOWARD ST,-122.3969347,37.78774685
01.01.2015,Thursday,CENTRAL,700 Block of POST ST,-122.4141794,37.78750248
01.01.2015,Thursday,BAYVIEW,1100 Block of QUESADA AV,-122.3818681,37.72797274
01.01.2015,Thursday,NORTHERN,FILBERT ST / FILLMORE ST,-122.4356798,37.79802059
01.01.2015,Thursday,INGLESIDE,800 Block of SAN JOSE AV,-122.4235802,37.74113577
01.01.2015,Thursday,INGLESIDE,800 Block of SAN JOSE AV,-122.4235802,37.74113577
01.01.2015,Thursday,PARK,3600 Block of 16TH ST,-122.4342212,37.76422371
01.01.2015,Thursday,TARAVAL,2700 Block of TARAVAL ST,-122.4955207,37.74212132
01.01.2015,Thursday,SOUTHERN,FOLSOM ST / COLUMBIASQUARE ST,-122.4064399,37.77785671
01.01.2015,Thursday,NORTHERN,GROVE ST / STEINER ST,-122.4330299,37.7765502
01.01.2015,Thursday,CENTRAL,1000 Block of BUSH ST,-122.4145769,37.78947681
01.01.2015,Thursday,CENTRAL,300 Block of CALIFORNIA ST,-122.4005428,37.79307904
01.01.2015,Thursday,NORTHERN,LYON ST / GREENWICH ST,-122.4471595,37.79751295
01.01.2015,Thursday,MISSION,900 Block of POTRERO AV,-122.4066049,37.75715804
01.01.2015,Thursday,RICHMOND,JOHNFKENNEDY DR / TRANSVERSE DR,-122.4798935,37.7704928
01.01.2015,Thursday,RICHMOND,500 Block of JOHNFKENNEDY DR,-122.4662047,37.77254054
01.01.2015,Thursday,SOUTHERN,MISSION ST / 4TH ST,-122.4042702,37.78447885
01.01.2015,Thursday,BAYVIEW,900 Block of PENNSYLVANIA AV,-122.3927443,37.75436176
01.01.2015,Thursday,TARAVAL,2100 Block of 26TH AV,-122.4834465,37.7473668
01.01.2015,Thursday,SOUTHERN,800 Block of MARKET ST,-122.406521,37.78506294
01.01.2015,Thursday,NORTHERN,2600 Block of FILBERT ST,-122.4431416,37.79712709
01.01.2015,Thursday,BAYVIEW,1000 Block of GRIFFITH ST,-122.3789208,37.72861197
01.01.2015,Thursday,BAYVIEW,1000 Block of GRIFFITH ST,-122.3789208,37.72861197
01.01.2015,Thursday,BAYVIEW,1000 Block of GRIFFITH ST,-122.3789208,37.72861197
01.01.2015,Thursday,RICHMOND,2600 Block of TURK ST,-122.4502086,37.77816548
01.01.2015,Thursday,RICHMOND,2600 Block of TURK ST,-122.4502086,37.77816548
01.01.2015,Thursday,RICHMOND,2600 Block of TURK ST,-122.4502086,37.77816548
01.01.2015,Thursday,RICHMOND,TRANSVERSE DR / MARTIN LUTHER KING JR DR,-122.4782594,37.76591634
01.01.2015,Thursday,PARK,CARL ST / COLE ST,-122.4499581,37.76580008
01.01.2015,Thursday,INGLESIDE,MOSCOW ST / ITALY AV,-122.4323224,37.71503864
01.01.2015,Thursday,NORTHERN,1600 Block of SUTTER ST,-122.4275282,37.78687087
01.01.2015,Thursday,RICHMOND,300 Block of 9TH AV,-122.4674879,37.78182574
01.01.2015,Thursday,NORTHERN,3000 Block of WEBSTER ST,-122.4341513,37.79845436
01.01.2015,Thursday,PARK,500 Block of PIERCE ST,-122.434459,37.77494671
01.01.2015,Thursday,MISSION,16TH ST / MISSION ST,-122.4196718,37.76505012
01.01.2015,Thursday,MISSION,16TH ST / MISSION ST,-122.4196718,37.76505012
01.01.2015,Thursday,PARK,100 Block of WARREN DR,-122.4589714,37.75348484
01.01.2015,Thursday,CENTRAL,500 Block of COLUMBUS AV,-122.4096674,37.7998692
01.01.2015,Thursday,CENTRAL,500 Block of COLUMBUS AV,-122.4096674,37.7998692
01.01.2015,Thursday,RICHMOND,3900 Block of GEARY BL,-122.4616037,37.78101778
01.01.2015,Thursday,CENTRAL,500 Block of FRANCISCO ST,-122.4142668,37.80463488
01.01.2015,Thursday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071
01.01.2015,Thursday,RICHMOND,400 Block of 6TH AV,-122.4642799,37.7800333
01.01.2015,Thursday,TARAVAL,3200 Block of 20TH AV,-122.4756475,37.72852806
01.01.2015,Thursday,RICHMOND,300 Block of 20TH AV,-122.4795171,37.78127625
01.01.2015,Thursday,NORTHERN,2200 Block of VANNESS AV,-122.4236828,37.79620462
01.01.2015,Thursday,NORTHERN,2200 Block of VANNESS AV,-122.4236828,37.79620462
01.01.2015,Thursday,RICHMOND,7TH AV / MARTIN LUTHER KING JR DR,-122.4643833,37.7664286
01.01.2015,Thursday,RICHMOND,7TH AV / MARTIN LUTHER KING JR DR,-122.4643833,37.7664286
01.01.2015,Thursday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071
01.01.2015,Thursday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071
01.01.2015,Thursday,SOUTHERN,200 Block of INTERSTATE80 HY,-122.3655654,37.8096707
01.01.2015,Thursday,PARK,MARTIN LUTHER KING JR DR / KEZAR DR,-122.4586388,37.76719994
01.01.2015,Thursday,MISSION,23RD ST / TREAT AV,-122.4131423,37.75416586
01.01.2015,Thursday,TARAVAL,3000 Block of TARAVAL ST,-122.4987322,37.74197612
01.01.2015,Thursday,INGLESIDE,3100 Block of MISSION ST,-122.4187328,37.74749553
01.01.2015,Thursday,TENDERLOIN,100 Block of EDDY ST,-122.4101352,37.78418891
01.01.2015,Thursday,TENDERLOIN,100 Block of EDDY ST,-122.4101352,37.78418891
01.01.2015,Thursday,TENDERLOIN,100 Block of EDDY ST,-122.4101352,37.78418891
01.01.2015,Thursday,RICHMOND,FULTON ST / 28TH AV,-122.4873991,37.77242122
01.01.2015,Thursday,CENTRAL,300 Block of JEFFERSON ST,-122.418277,37.80796245
01.01.2015,Thursday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071
01.01.2015,Thursday,SOUTHERN,4TH ST / KING ST,-122.3941026,37.77638271
01.01.2015,Thursday,CENTRAL,SUTTER ST / LARKIN ST,-122.4184677,37.78796526
01.01.2015,Thursday,CENTRAL,SUTTER ST / LARKIN ST,-122.4184677,37.78796526
01.01.2015,Thursday,NORTHERN,LAGUNA ST / HAYES ST,-122.4262653,37.77646314
01.01.2015,Thursday,RICHMOND,FULTON ST / 43RD AV,-122.5034712,37.77168767
01.01.2015,Thursday,RICHMOND,FULTON ST / 11TH AV,-122.4690938,37.77325583
01.01.2015,Thursday,SOUTHERN,MARKET ST / POWELL ST,-122.4075459,37.78440118
01.01.2015,Thursday,TENDERLOIN,0 Block of POWELL ST,-122.4078454,37.78509432
01.01.2015,Thursday,MISSION,4100 Block of CESAR CHAVEZ ST,-122.4329081,37.74728858
01.01.2015,Thursday,SOUTHERN,5TH ST / MINNA ST,-122.4059343,37.78229564
01.01.2015,Thursday,NORTHERN,300 Block of FULTON ST,-122.4225365,37.77879588
01.01.2015,Thursday,BAYVIEW,600 Block of FELTON ST,-122.4109997,37.72830411
01.01.2015,Thursday,SOUTHERN,0 Block of MOSS ST,-122.4079992,37.77782417
01.01.2015,Thursday,SOUTHERN,0 Block of MOSS ST,-122.4079992,37.77782417
01.01.2015,Thursday,PARK,14TH ST / DIVISADERO ST,-122.4364807,37.76727487
01.01.2015,Thursday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071
01.01.2015,Thursday,PARK,1300 Block of DIVISADERO ST,-122.4390865,37.78200888
01.01.2015,Thursday,SOUTHERN,400 Block of MINNA ST,-122.4063945,37.78200784
01.01.2015,Thursday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071
01.01.2015,Thursday,MISSION,2300 Block of HARRISON ST,-122.4127311,37.76047113
01.01.2015,Thursday,CENTRAL,400 Block of STOCKTON ST,-122.4071145,37.78990198
01.01.2015,Thursday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071
01.01.2015,Thursday,RICHMOND,700 Block of 18TH AV,-122.4766915,37.7738311
01.01.2015,Thursday,TARAVAL,100 Block of WESTPORTAL AV,-122.4681175,37.73890001
01.01.2015,Thursday,SOUTHERN,FOLSOM ST / 5TH ST,-122.4033904,37.78026558
01.01.2015,Thursday,TENDERLOIN,500 Block of OFARRELL ST,-122.4138201,37.7857383
01.01.2015,Thursday,MISSION,400 Block of HILL ST,-122.4311619,37.75543332
01.01.2015,Thursday,PARK,COLE ST / PARNASSUS AV,-122.4497709,37.76486647
01.01.2015,Thursday,NORTHERN,300 Block of FULTON ST,-122.4225365,37.77879588
01.01.2015,Thursday,NORTHERN,FRANKLIN ST / CALIFORNIA ST,-122.4239762,37.79016093
01.01.2015,Thursday,CENTRAL,700 Block of SANSOME ST,-122.4020436,37.79718746
01.01.2015,Thursday,NORTHERN,2900 Block of WEBSTER ST,-122.4340114,37.79776426
01.01.2015,Thursday,NORTHERN,2900 Block of WEBSTER ST,-122.4340114,37.79776426
01.01.2015,Thursday,SOUTHERN,0 Block of UNITEDNATIONS PZ,-122.4143179,37.77994441
01.01.2015,Thursday,RICHMOND,500 Block of JOHNFKENNEDY DR,-122.4662047,37.77254054
01.01.2015,Thursday,MISSION,26TH ST / CAPP ST,-122.4170492,37.74910571
01.01.2015,Thursday,MISSION,26TH ST / CAPP ST,-122.4170492,37.74910571
01.01.2015,Thursday,MISSION,26TH ST / CAPP ST,-122.4170492,37.74910571
01.01.2015,Thursday,RICHMOND,500 Block of 8TH AV,-122.4662887,37.77804422
01.01.2015,Thursday,TENDERLOIN,0 Block of MASON ST,-122.4092684,37.78379987
01.01.2015,Thursday,RICHMOND,0 Block of HEMWAY TR,-122.4481642,37.77600443
01.01.2015,Thursday,RICHMOND,6TH AV / BALBOA ST,-122.4640115,37.77723303
01.01.2015,Thursday,TARAVAL,700 Block of IRVING ST,-122.4657918,37.76411478
01.01.2015,Thursday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071
01.01.2015,Thursday,TENDERLOIN,100 Block of OFARRELL ST,-122.4072441,37.78656476
01.01.2015,Thursday,TENDERLOIN,100 Block of OFARRELL ST,-122.4072441,37.78656476
01.01.2015,Thursday,NORTHERN,0 Block of MARINA BL,-122.4329516,37.80505202
01.01.2015,Thursday,MISSION,3000 Block of 16TH ST,-122.4200705,37.764972
01.01.2015,Thursday,MISSION,3000 Block of 16TH ST,-122.4200705,37.764972
01.01.2015,Thursday,INGLESIDE,800 Block of FAXON AV,-122.459851,37.72817045
01.01.2015,Thursday,INGLESIDE,800 Block of FAXON AV,-122.459851,37.72817045
01.01.2015,Thursday,INGLESIDE,800 Block of FAXON AV,-122.459851,37.72817045
01.01.2015,Thursday,TARAVAL,2300 Block of TARAVAL ST,-122.4912365,37.74231127
01.01.2015,Thursday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071
01.01.2015,Thursday,TENDERLOIN,8TH ST / MARKET ST,-122.4147438,37.77871926
01.01.2015,Thursday,TENDERLOIN,8TH ST / MARKET ST,-122.4147438,37.77871926
01.01.2015,Thursday,SOUTHERN,900 Block of MARKET ST,-122.4095367,37.78269112
01.01.2015,Thursday,SOUTHERN,0 Block of SOUTH VAN NESS AV,-122.4183383,37.77266418
01.01.2015,Thursday,NORTHERN,700 Block of LARKIN ST,-122.417688,37.78448176
01.01.2015,Thursday,CENTRAL,UNION ST / STOCKTON ST,-122.4091939,37.80044388
01.01.2015,Thursday,TARAVAL,300 Block of FAXON AV,-122.4602905,37.72094512
01.01.2015,Thursday,TARAVAL,300 Block of FAXON AV,-122.4602905,37.72094512
01.01.2015,Thursday,TARAVAL,1700 Block of 16TH AV,-122.4733707,37.75494293
01.01.2015,Thursday,SOUTHERN,NEWMONTGOMERY ST / MISSION ST,-122.4005044,37.78745133
01.01.2015,Thursday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071
01.01.2015,Thursday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071
01.01.2015,Thursday,SOUTHERN,800 Block of BRYANT ST,-122.4034048,37.77542071
01.01.2015,Thursday,INGLESIDE,2000 Block of SUNNYDALE AV,-122.4171448,37.71215029
01.01.2015,Thursday,RICHMOND,500 Block of JOHNFKENNEDY DR,-122.4662047,37.77254054
01.01.2015,Thursday,TARAVAL,2300 Block of 43RD AV,-122.5015375,37.74282654
01.01.2015,Thursday,TARAVAL,2300 Block of 43RD AV,-122.5015375,37.74282654
01.01.2015,Thursday,TARAVAL,2300 Block of 43RD AV,-122.5015375,37.74282654
01.01.2015,Thursday,PARK,1200 Block of PAGE ST,-122.4413937,37.77172731
01.01.2015,Thursday,CENTRAL,1500 Block of STOCKTON ST,-122.4090353,37.79998452
01.01.2015,Thursday,SOUTHERN,5TH ST / MARKET ST,-122.4080683,37.78399168
01.01.2015,Thursday,NORTHERN,POLK ST / GEARY ST,-122.4197398,37.78589261
01.01.2015,Thursday,TENDERLOIN,8TH ST / MARKET ST,-122.4147438,37.77871926
01.01.2015,Thursday,TENDERLOIN,8TH ST / MARKET ST,-122.4147438,37.77871926
01.01.2015,Thursday,NORTHERN,SUTTER ST / POLK ST,-122.4201203,37.78775706
01.01.2015,Thursday,NORTHERN,SUTTER ST / POLK ST,-122.4201203,37.78775706
01.01.2015,Thursday,NORTHERN,SUTTER ST / POLK ST,-122.4201203,37.78775706
01.01.2015,Thursday,TARAVAL,ARCH ST / RANDOLPH ST,-122.4670922,37.71427357
01.01.2015,Thursday,INGLESIDE,MADRID ST / AMAZON AV,-122.437047,37.71600763
01.01.2015,Thursday,CENTRAL,900 Block of STOCKTON ST,-122.4079245,37.79451753
01.01.2015,Thursday,TARAVAL,1200 Block of 42ND AV,-122.5019035,37.76339663
01.01.2015,Thursday,TARAVAL,1200 Block of 42ND AV,-122.5019035,37.76339663
01.01.2015,Thursday,PARK,MARTIN LUTHER KING JR DR / KEZAR DR,-122.4586388,37.76719994
01.01.2015,Thursday,CENTRAL,500 Block of BROADWAY ST,-122.4064606,37.79794667
01.01.2015,Thursday,SOUTHERN,HARRISON ST / 8TH ST,-122.4085184,37.7737604
01.01.2015,Thursday,SOUTHERN,100 Block of HOWARD ST,-122.3929259,37.79091621
01.01.2015,Thursday,MISSION,1900 Block of MISSION ST,-122.4196766,37.7658511
01.01.2015,Thursday,CENTRAL,800 Block of FRANCISCO ST,-122.418941,37.80396739
01.01.2015,Thursday,SOUTHERN,MARKET ST / 3RD ST,-122.4034341,37.78764305
01.01.2015,Thursday,MISSION,1000 Block of POTRERO AV,-122.4065391,37.75648641
01.01.2015,Thursday,NORTHERN,700 Block of HAYES ST,-122.4287606,37.7762012
01.01.2015,Thursday,NORTHERN,LARKIN ST / GEARY ST,-122.4180908,37.78610075
01.01.2015,Thursday,SOUTHERN,500 Block of BRANNAN ST,-122.3977132,37.77746967
01.01.2015,Thursday,SOUTHERN,700 Block of MISSION ST,-122.4039713,37.78482831
01.01.2015,Thursday,SOUTHERN,BRYANT ST / 8TH ST,-122.406971,37.77252736
01.01.2015,Thursday,CENTRAL,1000 Block of CHESTNUT ST,-122.4206668,37.80286277
01.01.2015,Thursday,TARAVAL,700 Block of HEAD ST,-122.4644036,37.72070568
01.01.2015,Thursday,BAYVIEW,400 Block of GAVEN ST,-122.4139003,37.73180374
01.01.2015,Thursday,MISSION,3000 Block of MISSION ST,-122.4180249,37.74858688
01.01.2015,Thursday,MISSION,3000 Block of MISSION ST,-122.4180249,37.74858688
01.01.2015,Thursday,BAYVIEW,800 Block of KANSAS ST,-122.4030425,37.75883635
01.01.2015,Thursday,MISSION,3000 Block of MISSION ST,-122.4180249,37.74858688
01.01.2015,Thursday,PARK,4100 Block of 17TH ST,-122.4379057,37.76237631
01.01.2015,Thursday,TARAVAL,2600 Block of 44TH AV,-122.5022175,37.73718958
01.01.2015,Thursday,SOUTHERN,KING ST / 5TH ST,-122.3963563,37.77465164
01.01.2015,Thursday,TARAVAL,100 Block of SUMMIT ST,-122.4539944,37.7164759
01.01.2015,Thursday,SOUTHERN,BRANNAN ST / 9TH ST,-122.4070043,37.77004911
01.01.2015,Thursday,NORTHERN,2600 Block of FILBERT ST,-122.4431416,37.79712709
01.01.2015,Thursday,NORTHERN,2600 Block of FILBERT ST,-122.4431416,37.79712709
01.01.2015,Thursday,NORTHERN,2600 Block of FILBERT ST,-122.4431416,37.79712709
01.01.2015,Thursday,RICHMOND,LAKE ST / 12TH AV,-122.4711138,37.78638543
01.01.2015,Thursday,NORTHERN,2600 Block of FILBERT ST,-122.4431416,37.79712709
01.01.2015,Thursday,NORTHERN,1100 Block of FILLMORE ST,-122.4321162,37.78003044
01.01.2015,Thursday,TENDERLOIN,EDDY ST / LEAVENWORTH ST,-122.414243,37.78372403
01.01.2015,Thursday,MISSION,2000 Block of MISSION ST,-122.4196583,37.76422056
01.01.2015,Thursday,RICHMOND,CALIFORNIA ST / SPRUCE ST,-122.4534069,37.78641642
01.01.2015,Thursday,PARK,100 Block of BRODERICK ST,-122.4387376,37.77154117
01.01.2015,Thursday,BAYVIEW,600 Block of MISSOURI ST,-122.3961004,37.75916737
01.01.2015,Thursday,SOUTHERN,300 Block of CLEMENTINA ST,-122.4023215,37.78203871
01.01.2015,Thursday,SOUTHERN,300 Block of CLEMENTINA ST,-122.4023215,37.78203871
01.01.2015,Thursday,SOUTHERN,300 Block of CLEMENTINA ST,-122.4023215,37.78203871
01.01.2015,Thursday,SOUTHERN,300 Block of CLEMENTINA ST,-122.4023215,37.78203871
01.01.2015,Thursday,INGLESIDE,BERNALHTS BL / ANDERSON ST,-122.4150165,37.74218354
01.01.2015,Thursday,RICHMOND,BALBOA ST / 6TH AV,-122.4640115,37.77723303
01.01.2015,Thursday,BAYVIEW,100 Block of BAYVIEW CR,-122.3949616,37.73424767
01.01.2015,Thursday,INGLESIDE,200 Block of SANTOS ST,-122.4196574,37.70909492
01.01.2015,Thursday,SOUTHERN,4TH ST / FOLSOM ST,-122.4011616,37.78202385
01.01.2015,Thursday,CENTRAL,600 Block of POST ST,-122.4120324,37.78788549
01.01.2015,Thursday,SOUTHERN,6TH ST / HARRISON ST,-122.4040716,37.77727419
01.01.2015,Thursday,SOUTHERN,4TH ST / FOLSOM ST,-122.4011616,37.78202385
01.01.2015,Thursday,SOUTHERN,4TH ST / FOLSOM ST,-122.4011616,37.78202385
01.01.2015,Thursday,TARAVAL,100 Block of LENOX WY,-122.4655004,37.74169654
01.01.2015,Thursday,NORTHERN,1700 Block of SACRAMENTO ST,-122.4217207,37.79144464
01.01.2015,Thursday,INGLESIDE,400 Block of MADRID ST,-122.4322901,37.72240647
01.01.2015,Thursday,CENTRAL,LARKIN ST / JACKSON ST,-122.4197543,37.79435285
01.01.2015,Thursday,MISSION,16TH ST / MISSION ST,-122.4196718,37.76505012
01.01.2015,Thursday,TENDERLOIN,EDDY ST / HYDE ST,-122.4158851,37.78351606
01.01.2015,Thursday,CENTRAL,700 Block of VALLEJO ST,-122.4097917,37.79850835
